game,2010,11,20101121,201011210nor,sea,"Seattle Seahawks",19,nor,"New Orleans Saints",34
player,201011210nor,nor,BettLa00,pass_sacked,,,,,,
player,201011210nor,nor,BettLa00,pass_sacked_yds,,,,,,
player,201011210nor,nor,BettLa00,pass_long,0,,,,,
player,201011210nor,nor,BettLa00,pass_rating,,,,,,
player,201011210nor,nor,BettLa00,rush_att,0,,,,,
player,201011210nor,nor,BettLa00,rush_yds,0,,,,,
player,201011210nor,nor,BettLa00,rush_td,0,,,,,
player,201011210nor,nor,BettLa00,rush_long,0,,,,,
player,201011210nor,nor,BettLa00,targets,4,,,,,
player,201011210nor,nor,BettLa00,rec,3,,,,,
player,201011210nor,nor,BettLa00,rec_yds,37,,,,,
player,201011210nor,nor,BettLa00,rec_td,0,,,,,
player,201011210nor,nor,BettLa00,rec_long,25,,,,,
player,201011210nor,nor,BettLa00,fumbles,0,,,,,
player,201011210nor,nor,BettLa00,fumbles_lost,,,,,,
player,201011210nor,nor,ThomDa02,pass_cmp,0,,,,,
player,201011210nor,nor,ThomDa02,pass_att,0,,,,,
player,201011210nor,nor,ThomDa02,pass_yds,0,,,,,
player,201011210nor,nor,ThomDa02,pass_td,0,,,,,
player,201011210nor,nor,ThomDa02,pass_int,0,,,,,
player,201011210nor,nor,ThomDa02,pass_sacked,,,,,,
player,201011210nor,nor,ThomDa02,pass_sacked_yds,,,,,,
player,201011210nor,nor,ThomDa02,pass_long,0,,,,,
player,201011210nor,nor,ThomDa02,pass_rating,,,,,,
player,201011210nor,nor,ThomDa02,rush_att,0,,,,,
player,201011210nor,nor,ThomDa02,rush_yds,0,,,,,
player,201011210nor,nor,ThomDa02,rush_td,0,,,,,
player,201011210nor,nor,ThomDa02,rush_long,0,,,,,
player,201011210nor,nor,ThomDa02,targets,6,,,,,
player,201011210nor,nor,ThomDa02,rec,2,,,,,
player,201011210nor,nor,ThomDa02,rec_yds,26,,,,,
player,201011210nor,nor,ThomDa02,rec_td,0,,,,,
player,201011210nor,nor,ThomDa02,rec_long,14,,,,,
player,201011210nor,nor,ThomDa02,fumbles,0,,,,,
player,201011210nor,nor,ThomDa02,fumbles_lost,,,,,,
player,201011210nor,nor,HumpTo00,pass_cmp,0,,,,,
player,201011210nor,nor,HumpTo00,pass_att,0,,,,,
player,201011210nor,nor,HumpTo00,pass_yds,0,,,,,
player,201011210nor,nor,HumpTo00,pass_td,0,,,,,
player,201011210nor,nor,HumpTo00,pass_int,0,,,,,
player,201011210nor,nor,HumpTo00,pass_sacked,,,,,,
player,201011210nor,nor,HumpTo00,pass_sacked_yds,,,,,,
player,201011210nor,nor,HumpTo00,pass_long,0,,,,,
player,201011210nor,nor,HumpTo00,pass_rating,,,,,,
player,201011210nor,nor,HumpTo00,rush_att,0,,,,,
player,201011210nor,nor,HumpTo00,rush_yds,0,,,,,
player,201011210nor,nor,HumpTo00,rush_td,0,,,,,
player,201011210nor,nor,HumpTo00,rush_long,0,,,,,
player,201011210nor,nor,HumpTo00,targets,1,,,,,
player,201011210nor,nor,HumpTo00,rec,1,,,,,
player,201011210nor,nor,HumpTo00,rec_yds,12,,,,,
player,201011210nor,nor,HumpTo00,rec_td,0,,,,,
player,201011210nor,nor,HumpTo00,rec_long,12,,,,,
player,201011210nor,nor,HumpTo00,fumbles,0,,,,,
player,201011210nor,nor,HumpTo00,fumbles_lost,,,,,,
player,201011210nor,nor,EvanHe00,pass_cmp,0,,,,,
player,201011210nor,nor,EvanHe00,pass_att,0,,,,,
player,201011210nor,nor,EvanHe00,pass_yds,0,,,,,
player,201011210nor,nor,EvanHe00,pass_td,0,,,,,
player,201011210nor,nor,EvanHe00,pass_int,0,,,,,
player,201011210nor,nor,EvanHe00,pass_sacked,,,,,,
player,201011210nor,nor,EvanHe00,pass_sacked_yds,,,,,,
player,201011210nor,nor,EvanHe00,pass_long,0,,,,,
player,201011210nor,nor,EvanHe00,pass_rating,,,,,,
player,201011210nor,nor,EvanHe00,rush_att,0,,,,,
player,201011210nor,nor,EvanHe00,rush_yds,0,,,,,
player,201011210nor,nor,EvanHe00,rush_td,0,,,,,
