game,2010,8,20101101,201011010clt,htx,"Houston Texans",17,clt,"Indianapolis Colts",30
player,201011010clt,clt,JameJa00,pass_rating,,,,,,
player,201011010clt,clt,JameJa00,rush_att,3,,,,,
player,201011010clt,clt,JameJa00,rush_yds,4,,,,,
player,201011010clt,clt,JameJa00,rush_td,0,,,,,
player,201011010clt,clt,JameJa00,rush_long,7,,,,,
player,201011010clt,clt,JameJa00,targets,0,,,,,
player,201011010clt,clt,JameJa00,rec,0,,,,,
player,201011010clt,clt,JameJa00,rec_yds,0,,,,,
player,201011010clt,clt,JameJa00,rec_td,0,,,,,
player,201011010clt,clt,JameJa00,rec_long,0,,,,,
player,201011010clt,clt,JameJa00,fumbles,0,,,,,
player,201011010clt,clt,JameJa00,fumbles_lost,,,,,,
player,201011010clt,clt,GarcPi00,pass_cmp,0,,,,,
player,201011010clt,clt,GarcPi00,pass_att,0,,,,,
player,201011010clt,clt,GarcPi00,pass_yds,0,,,,,
player,201011010clt,clt,GarcPi00,pass_td,0,,,,,
player,201011010clt,clt,GarcPi00,pass_int,0,,,,,
player,201011010clt,clt,GarcPi00,pass_sacked,,,,,,
player,201011010clt,clt,GarcPi00,pass_sacked_yds,,,,,,
player,201011010clt,clt,GarcPi00,pass_long,0,,,,,
player,201011010clt,clt,GarcPi00,pass_rating,,,,,,
player,201011010clt,clt,GarcPi00,rush_att,0,,,,,
player,201011010clt,clt,GarcPi00,rush_yds,0,,,,,
player,201011010clt,clt,GarcPi00,rush_td,0,,,,,
player,201011010clt,clt,GarcPi00,rush_long,0,,,,,
player,201011010clt,clt,GarcPi00,targets,11,,,,,
player,201011010clt,clt,GarcPi00,rec,7,,,,,
player,201011010clt,clt,GarcPi00,rec_yds,78,,,,,
player,201011010clt,clt,GarcPi00,rec_td,0,,,,,
player,201011010clt,clt,GarcPi00,rec_long,18,,,,,
player,201011010clt,clt,GarcPi00,fumbles,0,,,,,
player,201011010clt,clt,GarcPi00,fumbles_lost,,,,,,
player,201011010clt,clt,TammJa00,pass_cmp,0,,,,,
player,201011010clt,clt,TammJa00,pass_att,0,,,,,
player,201011010clt,clt,TammJa00,pass_yds,0,,,,,
player,201011010clt,clt,TammJa00,pass_td,0,,,,,
player,201011010clt,clt,TammJa00,pass_int,0,,,,,
player,201011010clt,clt,TammJa00,pass_sacked,,,,,,
player,201011010clt,clt,TammJa00,pass_sacked_yds,,,,,,
player,201011010clt,clt,TammJa00,pass_long,0,,,,,
player,201011010clt,clt,TammJa00,pass_rating,,,,,,
player,201011010clt,clt,TammJa00,rush_att,0,,,,,
player,201011010clt,clt,TammJa00,rush_yds,0,,,,,
player,201011010clt,clt,TammJa00,rush_td,0,,,,,
player,201011010clt,clt,TammJa00,rush_long,0,,,,,
player,201011010clt,clt,TammJa00,targets,9,,,,,
player,201011010clt,clt,TammJa00,rec,6,,,,,
player,201011010clt,clt,TammJa00,rec_yds,64,,,,,
player,201011010clt,clt,TammJa00,rec_td,1,,,,,
player,201011010clt,clt,TammJa00,rec_long,26,,,,,
player,201011010clt,clt,TammJa00,fumbles,0,,,,,
player,201011010clt,clt,TammJa00,fumbles_lost,,,,,,
player,201011010clt,clt,GonzAn00,pass_cmp,0,,,,,
player,201011010clt,clt,GonzAn00,pass_att,0,,,,,
player,201011010clt,clt,GonzAn00,pass_yds,0,,,,,
player,201011010clt,clt,GonzAn00,pass_td,0,,,,,
player,201011010clt,clt,GonzAn00,pass_int,0,,,,,
player,201011010clt,clt,GonzAn00,pass_sacked,,,,,,
player,201011010clt,clt,GonzAn00,pass_sacked_yds,,,,,,
player,201011010clt,clt,GonzAn00,pass_long,0,,,,,
player,201011010clt,clt,GonzAn00,pass_rating,,,,,,
player,201011010clt,clt,GonzAn00,rush_att,0,,,,,
player,201011010clt,clt,GonzAn00,rush_yds,0,,,,,
player,201011010clt,clt,GonzAn00,rush_td,0,,,,,
player,201011010clt,clt,GonzAn00,rush_long,0,,,,,
