game,2010,16,20101226,201012260kan,oti,"Tennessee Titans",14,kan,"Kansas City Chiefs",34
player,201012260kan,kan,CoppTe00,pass_td,0,,,,,
player,201012260kan,kan,CoppTe00,pass_int,0,,,,,
player,201012260kan,kan,CoppTe00,pass_sacked,,,,,,
player,201012260kan,kan,CoppTe00,pass_sacked_yds,,,,,,
player,201012260kan,kan,CoppTe00,pass_long,0,,,,,
player,201012260kan,kan,CoppTe00,pass_rating,,,,,,
player,201012260kan,kan,CoppTe00,rush_att,0,,,,,
player,201012260kan,kan,CoppTe00,rush_yds,0,,,,,
player,201012260kan,kan,CoppTe00,rush_td,0,,,,,
player,201012260kan,kan,CoppTe00,rush_long,0,,,,,
player,201012260kan,kan,CoppTe00,targets,1,,,,,
player,201012260kan,kan,CoppTe00,rec,1,,,,,
player,201012260kan,kan,CoppTe00,rec_yds,6,,,,,
player,201012260kan,kan,CoppTe00,rec_td,0,,,,,
