game,2010,6,20101017,201010170ram,sdg,"San Diego Chargers",17,ram,"St. Louis Rams",20
player,201010170ram,ram,AlexDa00,rec_yds,72,,,,,
player,201010170ram,ram,AlexDa00,rec_td,1,,,,,
player,201010170ram,ram,AlexDa00,rec_long,38,,,,,
player,201010170ram,ram,AlexDa00,fumbles,0,,,,,
player,201010170ram,ram,AlexDa00,fumbles_lost,,,,,,
player,201010170ram,ram,BajeBi00,pass_cmp,0,,,,,
player,201010170ram,ram,BajeBi00,pass_att,0,,,,,
player,201010170ram,ram,BajeBi00,pass_yds,0,,,,,
player,201010170ram,ram,BajeBi00,pass_td,0,,,,,
player,201010170ram,ram,BajeBi00,pass_int,0,,,,,
player,201010170ram,ram,BajeBi00,pass_sacked,,,,,,
player,201010170ram,ram,BajeBi00,pass_sacked_yds,,,,,,
player,201010170ram,ram,BajeBi00,pass_long,0,,,,,
player,201010170ram,ram,BajeBi00,pass_rating,,,,,,
player,201010170ram,ram,BajeBi00,rush_att,0,,,,,
player,201010170ram,ram,BajeBi00,rush_yds,0,,,,,
player,201010170ram,ram,BajeBi00,rush_td,0,,,,,
player,201010170ram,ram,BajeBi00,rush_long,0,,,,,
player,201010170ram,ram,BajeBi00,targets,5,,,,,
player,201010170ram,ram,BajeBi00,rec,3,,,,,
player,201010170ram,ram,BajeBi00,rec_yds,34,,,,,
player,201010170ram,ram,BajeBi00,rec_td,0,,,,,
player,201010170ram,ram,BajeBi00,rec_long,18,,,,,
player,201010170ram,ram,BajeBi00,fumbles,0,,,,,
player,201010170ram,ram,BajeBi00,fumbles_lost,,,,,,
player,201010170ram,ram,GibsBr00,pass_cmp,0,,,,,
player,201010170ram,ram,GibsBr00,pass_att,0,,,,,
player,201010170ram,ram,GibsBr00,pass_yds,0,,,,,
player,201010170ram,ram,GibsBr00,pass_td,0,,,,,
player,201010170ram,ram,GibsBr00,pass_int,0,,,,,
player,201010170ram,ram,GibsBr00,pass_sacked,,,,,,
player,201010170ram,ram,GibsBr00,pass_sacked_yds,,,,,,
player,201010170ram,ram,GibsBr00,pass_long,0,,,,,
player,201010170ram,ram,GibsBr00,pass_rating,,,,,,
player,201010170ram,ram,GibsBr00,rush_att,0,,,,,
player,201010170ram,ram,GibsBr00,rush_yds,0,,,,,
player,201010170ram,ram,GibsBr00,rush_td,0,,,,,
player,201010170ram,ram,GibsBr00,rush_long,0,,,,,
player,201010170ram,ram,GibsBr00,targets,5,,,,,
player,201010170ram,ram,GibsBr00,rec,3,,,,,
player,201010170ram,ram,GibsBr00,rec_yds,33,,,,,
player,201010170ram,ram,GibsBr00,rec_td,0,,,,,
player,201010170ram,ram,GibsBr00,rec_long,12,,,,,
player,201010170ram,ram,GibsBr00,fumbles,0,,,,,
player,201010170ram,ram,GibsBr00,fumbles_lost,,,,,,
player,201010170ram,ram,GilyMa00,pass_cmp,0,,,,,
player,201010170ram,ram,GilyMa00,pass_att,0,,,,,
player,201010170ram,ram,GilyMa00,pass_yds,0,,,,,
player,201010170ram,ram,GilyMa00,pass_td,0,,,,,
player,201010170ram,ram,GilyMa00,pass_int,0,,,,,
player,201010170ram,ram,GilyMa00,pass_sacked,,,,,,
player,201010170ram,ram,GilyMa00,pass_sacked_yds,,,,,,
player,201010170ram,ram,GilyMa00,pass_long,0,,,,,
player,201010170ram,ram,GilyMa00,pass_rating,,,,,,
player,201010170ram,ram,GilyMa00,rush_att,0,,,,,
player,201010170ram,ram,GilyMa00,rush_yds,0,,,,,
player,201010170ram,ram,GilyMa00,rush_td,0,,,,,
player,201010170ram,ram,GilyMa00,rush_long,0,,,,,
player,201010170ram,ram,GilyMa00,targets,3,,,,,
player,201010170ram,ram,GilyMa00,rec,1,,,,,
player,201010170ram,ram,GilyMa00,rec_yds,21,,,,,
player,201010170ram,ram,GilyMa00,rec_td,0,,,,,
player,201010170ram,ram,GilyMa00,rec_long,21,,,,,
player,201010170ram,ram,GilyMa00,fumbles,0,,,,,
player,201010170ram,ram,GilyMa00,fumbles_lost,,,,,,
player,201010170ram,ram,AmenDa00,pass_cmp,0,,,,,
player,201010170ram,ram,AmenDa00,pass_att,0,,,,,
player,201010170ram,ram,AmenDa00,pass_yds,0,,,,,
player,201010170ram,ram,AmenDa00,pass_td,0,,,,,
player,201010170ram,ram,AmenDa00,pass_int,0,,,,,
player,201010170ram,ram,AmenDa00,pass_sacked,,,,,,
player,201010170ram,ram,AmenDa00,pass_sacked_yds,,,,,,
player,201010170ram,ram,AmenDa00,pass_long,0,,,,,
player,201010170ram,ram,AmenDa00,pass_rating,,,,,,
player,201010170ram,ram,AmenDa00,rush_att,0,,,,,
player,201010170ram,ram,AmenDa00,rush_yds,0,,,,,
player,201010170ram,ram,AmenDa00,rush_td,0,,,,,
player,201010170ram,ram,AmenDa00,rush_long,0,,,,,
player,201010170ram,ram,AmenDa00,targets,5,,,,,
player,201010170ram,ram,AmenDa00,rec,3,,,,,
player,201010170ram,ram,AmenDa00,rec_yds,19,,,,,
player,201010170ram,ram,AmenDa00,rec_td,0,,,,,
player,201010170ram,ram,AmenDa00,rec_long,11,,,,,
player,201010170ram,ram,AmenDa00,fumbles,0,,,,,
player,201010170ram,ram,AmenDa00,fumbles_lost,,,,,,
player,201010170ram,ram,FellDa00,pass_cmp,0,,,,,
player,201010170ram,ram,FellDa00,pass_att,0,,,,,
player,201010170ram,ram,FellDa00,pass_yds,0,,,,,
player,201010170ram,ram,FellDa00,pass_td,0,,,,,
player,201010170ram,ram,FellDa00,pass_int,0,,,,,
player,201010170ram,ram,FellDa00,pass_sacked,,,,,,
player,201010170ram,ram,FellDa00,pass_sacked_yds,,,,,,
player,201010170ram,ram,FellDa00,pass_long,0,,,,,
player,201010170ram,ram,FellDa00,pass_rating,,,,,,
player,201010170ram,ram,FellDa00,rush_att,0,,,,,
player,201010170ram,ram,FellDa00,rush_yds,0,,,,,
player,201010170ram,ram,FellDa00,rush_td,0,,,,,
player,201010170ram,ram,FellDa00,rush_long,0,,,,,
player,201010170ram,ram,FellDa00,targets,2,,,,,
player,201010170ram,ram,FellDa00,rec,1,,,,,
player,201010170ram,ram,FellDa00,rec_yds,8,,,,,
player,201010170ram,ram,FellDa00,rec_td,0,,,,,
player,201010170ram,ram,FellDa00,rec_long,8,,,,,
player,201010170ram,ram,FellDa00,fumbles,0,,,,,
player,201010170ram,ram,FellDa00,fumbles_lost,,,,,,
player,201010170ram,ram,HoomMi00,pass_cmp,0,,,,,
player,201010170ram,ram,HoomMi00,pass_att,0,,,,,
player,201010170ram,ram,HoomMi00,pass_yds,0,,,,,
player,201010170ram,ram,HoomMi00,pass_td,0,,,,,
player,201010170ram,ram,HoomMi00,pass_int,0,,,,,
player,201010170ram,ram,HoomMi00,pass_sacked,,,,,,
player,201010170ram,ram,HoomMi00,pass_sacked_yds,,,,,,
player,201010170ram,ram,HoomMi00,pass_long,0,,,,,
player,201010170ram,ram,HoomMi00,pass_rating,,,,,,
player,201010170ram,ram,HoomMi00,rush_att,0,,,,,
player,201010170ram,ram,HoomMi00,rush_yds,0,,,,,
player,201010170ram,ram,HoomMi00,rush_td,0,,,,,
player,201010170ram,ram,HoomMi00,rush_long,0,,,,,
player,201010170ram,ram,HoomMi00,targets,2,,,,,
player,201010170ram,ram,HoomMi00,rec,1,,,,,
player,201010170ram,ram,HoomMi00,rec_yds,5,,,,,
player,201010170ram,ram,HoomMi00,rec_td,0,,,,,
player,201010170ram,ram,HoomMi00,rec_long,5,,,,,
player,201010170ram,ram,HoomMi00,fumbles,0,,,,,
player,201010170ram,ram,HoomMi00,fumbles_lost,,,,,,
player,201010170ram,ram,KarnMi00,pass_cmp,0,,,,,
player,201010170ram,ram,KarnMi00,pass_att,0,,,,,
player,201010170ram,ram,KarnMi00,pass_yds,0,,,,,
player,201010170ram,ram,KarnMi00,pass_td,0,,,,,
player,201010170ram,ram,KarnMi00,pass_int,0,,,,,
player,201010170ram,ram,KarnMi00,pass_sacked,,,,,,
player,201010170ram,ram,KarnMi00,pass_sacked_yds,,,,,,
player,201010170ram,ram,KarnMi00,pass_long,0,,,,,
player,201010170ram,ram,KarnMi00,pass_rating,,,,,,
player,201010170ram,ram,KarnMi00,rush_att,0,,,,,
player,201010170ram,ram,KarnMi00,rush_yds,0,,,,,
player,201010170ram,ram,KarnMi00,rush_td,0,,,,,
player,201010170ram,ram,KarnMi00,rush_long,0,,,,,
player,201010170ram,ram,KarnMi00,targets,1,,,,,
player,201010170ram,ram,KarnMi00,rec,1,,,,,
player,201010170ram,ram,KarnMi00,rec_yds,4,,,,,
player,201010170ram,ram,KarnMi00,rec_td,0,,,,,
player,201010170ram,ram,KarnMi00,rec_long,4,,,,,
player,201010170ram,ram,KarnMi00,fumbles,0,,,,,
player,201010170ram,ram,KarnMi00,fumbles_lost,,,,,,
player,201010170ram,ram,DarbKe00,pass_cmp,0,,,,,
player,201010170ram,ram,DarbKe00,pass_att,0,,,,,
player,201010170ram,ram,DarbKe00,pass_yds,0,,,,,
player,201010170ram,ram,DarbKe00,pass_td,0,,,,,
player,201010170ram,ram,DarbKe00,pass_int,0,,,,,
