game,2010,17,20110102,201101020den,sdg,"San Diego Chargers",33,den,"Denver Broncos",28
player,201101020den,den,DeckEr00,rec_long,16,,,,,
player,201101020den,den,DeckEr00,fumbles,0,,,,,
player,201101020den,den,DeckEr00,fumbles_lost,,,,,,
player,201101020den,den,GaffJa00,pass_cmp,0,,,,,
player,201101020den,den,GaffJa00,pass_att,0,,,,,
player,201101020den,den,GaffJa00,pass_yds,0,,,,,
player,201101020den,den,GaffJa00,pass_td,0,,,,,
player,201101020den,den,GaffJa00,pass_int,0,,,,,
player,201101020den,den,GaffJa00,pass_sacked,,,,,,
player,201101020den,den,GaffJa00,pass_sacked_yds,,,,,,
player,201101020den,den,GaffJa00,pass_long,0,,,,,
player,201101020den,den,GaffJa00,pass_rating,,,,,,
player,201101020den,den,GaffJa00,rush_att,0,,,,,
player,201101020den,den,GaffJa00,rush_yds,0,,,,,
player,201101020den,den,GaffJa00,rush_td,0,,,,,
player,201101020den,den,GaffJa00,rush_long,0,,,,,
player,201101020den,den,GaffJa00,targets,3,,,,,
player,201101020den,den,GaffJa00,rec,1,,,,,
player,201101020den,den,GaffJa00,rec_yds,12,,,,,
player,201101020den,den,GaffJa00,rec_td,0,,,,,
player,201101020den,den,GaffJa00,rec_long,12,,,,,
player,201101020den,den,GaffJa00,fumbles,0,,,,,
player,201101020den,den,GaffJa00,fumbles_lost,,,,,,
player,201101020den,den,LloyBr00,pass_cmp,0,,,,,
player,201101020den,den,LloyBr00,pass_att,0,,,,,
player,201101020den,den,LloyBr00,pass_yds,0,,,,,
player,201101020den,den,LloyBr00,pass_td,0,,,,,
player,201101020den,den,LloyBr00,pass_int,0,,,,,
player,201101020den,den,LloyBr00,pass_sacked,,,,,,
player,201101020den,den,LloyBr00,pass_sacked_yds,,,,,,
player,201101020den,den,LloyBr00,pass_long,0,,,,,
player,201101020den,den,LloyBr00,pass_rating,,,,,,
player,201101020den,den,LloyBr00,rush_att,1,,,,,
player,201101020den,den,LloyBr00,rush_yds,-18,,,,,
player,201101020den,den,LloyBr00,rush_td,0,,,,,
player,201101020den,den,LloyBr00,rush_long,-18,,,,,
player,201101020den,den,LloyBr00,targets,14,,,,,
player,201101020den,den,LloyBr00,rec,5,,,,,
player,201101020den,den,LloyBr00,rec_yds,73,,,,,
player,201101020den,den,LloyBr00,rec_td,1,,,,,
player,201101020den,den,LloyBr00,rec_long,17,,,,,
player,201101020den,den,LloyBr00,fumbles,0,,,,,
player,201101020den,den,LloyBr00,fumbles_lost,,,,,,
player,201101020den,den,ThomDe03,pass_cmp,,,,,,
player,201101020den,den,ThomDe03,pass_att,,,,,,
player,201101020den,den,ThomDe03,pass_yds,,,,,,
player,201101020den,den,ThomDe03,pass_td,,,,,,
player,201101020den,den,ThomDe03,pass_int,,,,,,
player,201101020den,den,ThomDe03,pass_sacked,,,,,,
player,201101020den,den,ThomDe03,pass_sacked_yds,,,,,,
player,201101020den,den,ThomDe03,pass_long,,,,,,
player,201101020den,den,ThomDe03,pass_rating,,,,,,
player,201101020den,den,ThomDe03,rush_att,,,,,,
player,201101020den,den,ThomDe03,rush_yds,,,,,,
player,201101020den,den,ThomDe03,rush_td,,,,,,
player,201101020den,den,ThomDe03,rush_long,,,,,,
player,201101020den,den,ThomDe03,targets,2,,,,,
player,201101020den,den,ThomDe03,rec,0,,,,,
player,201101020den,den,ThomDe03,rec_yds,0,,,,,
player,201101020den,den,ThomDe03,rec_td,0,,,,,
player,201101020den,den,ThomDe03,rec_long,,,,,,
player,201101020den,den,ThomDe03,fumbles,,,,,,
player,201101020den,den,ThomDe03,fumbles_lost,,,,,,
player,201101020den,den,RoyaEd00,pass_cmp,,,,,,
player,201101020den,den,RoyaEd00,pass_att,,,,,,
