game,2010,1,20100912,201009120pit,atl,"Atlanta Falcons",9,pit,"Pittsburgh Steelers",15
player,201009120pit,pit,WallMi00,pass_long,0,,,,,
player,201009120pit,pit,WallMi00,pass_rating,,,,,,
player,201009120pit,pit,WallMi00,rush_att,0,,,,,
player,201009120pit,pit,WallMi00,rush_yds,0,,,,,
player,201009120pit,pit,WallMi00,rush_td,0,,,,,
player,201009120pit,pit,WallMi00,rush_long,0,,,,,
player,201009120pit,pit,WallMi00,targets,5,,,,,
player,201009120pit,pit,WallMi00,rec,2,,,,,
player,201009120pit,pit,WallMi00,rec_yds,62,,,,,
player,201009120pit,pit,WallMi00,rec_td,0,,,,,
player,201009120pit,pit,WallMi00,rec_long,52,,,,,
player,201009120pit,pit,WallMi00,fumbles,0,,,,,
player,201009120pit,pit,WallMi00,fumbles_lost,,,,,,
player,201009120pit,pit,MillHe00,pass_cmp,0,,,,,
player,201009120pit,pit,MillHe00,pass_att,0,,,,,
player,201009120pit,pit,MillHe00,pass_yds,0,,,,,
player,201009120pit,pit,MillHe00,pass_td,0,,,,,
player,201009120pit,pit,MillHe00,pass_int,0,,,,,
player,201009120pit,pit,MillHe00,pass_sacked,,,,,,
player,201009120pit,pit,MillHe00,pass_sacked_yds,,,,,,
player,201009120pit,pit,MillHe00,pass_long,0,,,,,
player,201009120pit,pit,MillHe00,pass_rating,,,,,,
player,201009120pit,pit,MillHe00,rush_att,0,,,,,
player,201009120pit,pit,MillHe00,rush_yds,0,,,,,
player,201009120pit,pit,MillHe00,rush_td,0,,,,,
player,201009120pit,pit,MillHe00,rush_long,0,,,,,
player,201009120pit,pit,MillHe00,targets,5,,,,,
player,201009120pit,pit,MillHe00,rec,4,,,,,
player,201009120pit,pit,MillHe00,rec_yds,40,,,,,
player,201009120pit,pit,MillHe00,rec_td,0,,,,,
player,201009120pit,pit,MillHe00,rec_long,17,,,,,
player,201009120pit,pit,MillHe00,fumbles,0,,,,,
player,201009120pit,pit,MillHe00,fumbles_lost,,,,,,
player,201009120pit,pit,RandAn00,pass_cmp,0,,,,,
player,201009120pit,pit,RandAn00,pass_att,0,,,,,
player,201009120pit,pit,RandAn00,pass_yds,0,,,,,
player,201009120pit,pit,RandAn00,pass_td,0,,,,,
player,201009120pit,pit,RandAn00,pass_int,0,,,,,
player,201009120pit,pit,RandAn00,pass_sacked,0,,,,,
player,201009120pit,pit,RandAn00,pass_sacked_yds,,,,,,
player,201009120pit,pit,RandAn00,pass_long,0,,,,,
player,201009120pit,pit,RandAn00,pass_rating,,,,,,
player,201009120pit,pit,RandAn00,rush_att,0,,,,,
player,201009120pit,pit,RandAn00,rush_yds,0,,,,,
player,201009120pit,pit,RandAn00,rush_td,0,,,,,
player,201009120pit,pit,RandAn00,rush_long,0,,,,,
player,201009120pit,pit,RandAn00,targets,5,,,,,
player,201009120pit,pit,RandAn00,rec,2,,,,,
player,201009120pit,pit,RandAn00,rec_yds,8,,,,,
player,201009120pit,pit,RandAn00,rec_td,0,,,,,
player,201009120pit,pit,RandAn00,rec_long,4,,,,,
player,201009120pit,pit,RandAn00,fumbles,0,,,,,
player,201009120pit,pit,RandAn00,fumbles_lost,,,,,,
player,201009120pit,pit,MoorMe00,pass_cmp,0,,,,,
player,201009120pit,pit,MoorMe00,pass_att,0,,,,,
player,201009120pit,pit,MoorMe00,pass_yds,0,,,,,
player,201009120pit,pit,MoorMe00,pass_td,0,,,,,
player,201009120pit,pit,MoorMe00,pass_int,0,,,,,
player,201009120pit,pit,MoorMe00,pass_sacked,,,,,,
player,201009120pit,pit,MoorMe00,pass_sacked_yds,,,,,,
player,201009120pit,pit,MoorMe00,pass_long,0,,,,,
player,201009120pit,pit,MoorMe00,pass_rating,,,,,,
player,201009120pit,pit,MoorMe00,rush_att,1,,,,,
player,201009120pit,pit,MoorMe00,rush_yds,0,,,,,
player,201009120pit,pit,MoorMe00,rush_td,0,,,,,
player,201009120pit,pit,MoorMe00,rush_long,0,,,,,
player,201009120pit,pit,MoorMe00,targets,2,,,,,
player,201009120pit,pit,MoorMe00,rec,2,,,,,
player,201009120pit,pit,MoorMe00,rec_yds,3,,,,,
player,201009120pit,pit,MoorMe00,rec_td,0,,,,,
player,201009120pit,pit,MoorMe00,rec_long,4,,,,,
player,201009120pit,pit,MoorMe00,fumbles,0,,,,,
player,201009120pit,pit,MoorMe00,fumbles_lost,,,,,,
player,201009120pit,atl,PeteMi20,def_int,1,,,,,
player,201009120pit,atl,PeteMi20,def_int_yds,1,,,,,
player,201009120pit,atl,PeteMi20,def_int_td,0,,,,,
player,201009120pit,atl,PeteMi20,def_int_long,1,,,,,
player,201009120pit,atl,PeteMi20,pass_defended,1,,,,,
player,201009120pit,atl,PeteMi20,sacks,0.0,,,,,
player,201009120pit,atl,PeteMi20,tackles_combined,6,,,,,
player,201009120pit,atl,PeteMi20,tackles_solo,4,,,,,
player,201009120pit,atl,PeteMi20,tackles_assists,2,,,,,
player,201009120pit,atl,PeteMi20,tackles_loss,0,,,,,
player,201009120pit,atl,PeteMi20,qb_hits,0,,,,,
player,201009120pit,atl,PeteMi20,fumbles_rec,0,,,,,
player,201009120pit,atl,PeteMi20,fumbles_rec_yds,0,,,,,
player,201009120pit,atl,PeteMi20,fumbles_rec_td,0,,,,,
player,201009120pit,atl,PeteMi20,fumbles_forced,0,,,,,
player,201009120pit,atl,LoftCu99,def_int,0,,,,,
player,201009120pit,atl,LoftCu99,def_int_yds,0,,,,,
player,201009120pit,atl,LoftCu99,def_int_td,0,,,,,
player,201009120pit,atl,LoftCu99,def_int_long,0,,,,,
player,201009120pit,atl,LoftCu99,pass_defended,0,,,,,
player,201009120pit,atl,LoftCu99,sacks,1.0,,,,,
player,201009120pit,atl,LoftCu99,tackles_combined,12,,,,,
player,201009120pit,atl,LoftCu99,tackles_solo,9,,,,,
player,201009120pit,atl,LoftCu99,tackles_assists,3,,,,,
player,201009120pit,atl,LoftCu99,tackles_loss,2,,,,,
player,201009120pit,atl,LoftCu99,qb_hits,1,,,,,
player,201009120pit,atl,LoftCu99,fumbles_rec,0,,,,,
player,201009120pit,atl,LoftCu99,fumbles_rec_yds,0,,,,,
player,201009120pit,atl,LoftCu99,fumbles_rec_td,0,,,,,
player,201009120pit,atl,LoftCu99,fumbles_forced,0,,,,,
player,201009120pit,atl,AbraJo00,def_int,0,,,,,
player,201009120pit,atl,AbraJo00,def_int_yds,0,,,,,
player,201009120pit,atl,AbraJo00,def_int_td,0,,,,,
