game,2010,8,20101031,201010310cin,mia,"Miami Dolphins",22,cin,"Cincinnati Bengals",14
player,201010310cin,cin,OwenTe00,rec_td,2,,,,,
player,201010310cin,cin,OwenTe00,rec_long,37,,,,,
player,201010310cin,cin,OwenTe00,fumbles,0,,,,,
player,201010310cin,cin,OwenTe00,fumbles_lost,,,,,,
player,201010310cin,cin,JohnCh01,pass_cmp,0,,,,,
player,201010310cin,cin,JohnCh01,pass_att,0,,,,,
player,201010310cin,cin,JohnCh01,pass_yds,0,,,,,
player,201010310cin,cin,JohnCh01,pass_td,0,,,,,
player,201010310cin,cin,JohnCh01,pass_int,0,,,,,
player,201010310cin,cin,JohnCh01,pass_sacked,0,,,,,
player,201010310cin,cin,JohnCh01,pass_sacked_yds,0,,,,,
player,201010310cin,cin,JohnCh01,pass_long,0,,,,,
player,201010310cin,cin,JohnCh01,pass_rating,,,,,,
player,201010310cin,cin,JohnCh01,rush_att,0,,,,,
player,201010310cin,cin,JohnCh01,rush_yds,0,,,,,
player,201010310cin,cin,JohnCh01,rush_td,0,,,,,
player,201010310cin,cin,JohnCh01,rush_long,0,,,,,
player,201010310cin,cin,JohnCh01,targets,8,,,,,
player,201010310cin,cin,JohnCh01,rec,3,,,,,
player,201010310cin,cin,JohnCh01,rec_yds,34,,,,,
player,201010310cin,cin,JohnCh01,rec_td,0,,,,,
player,201010310cin,cin,JohnCh01,rec_long,14,,,,,
player,201010310cin,cin,JohnCh01,fumbles,0,,,,,
player,201010310cin,cin,JohnCh01,fumbles_lost,,,,,,
player,201010310cin,cin,ShipJo00,pass_cmp,0,,,,,
player,201010310cin,cin,ShipJo00,pass_att,0,,,,,
player,201010310cin,cin,ShipJo00,pass_yds,0,,,,,
player,201010310cin,cin,ShipJo00,pass_td,0,,,,,
player,201010310cin,cin,ShipJo00,pass_int,0,,,,,
player,201010310cin,cin,ShipJo00,pass_sacked,,,,,,
player,201010310cin,cin,ShipJo00,pass_sacked_yds,,,,,,
player,201010310cin,cin,ShipJo00,pass_long,0,,,,,
player,201010310cin,cin,ShipJo00,pass_rating,,,,,,
player,201010310cin,cin,ShipJo00,rush_att,0,,,,,
player,201010310cin,cin,ShipJo00,rush_yds,0,,,,,
player,201010310cin,cin,ShipJo00,rush_td,0,,,,,
player,201010310cin,cin,ShipJo00,rush_long,0,,,,,
player,201010310cin,cin,ShipJo00,targets,6,,,,,
player,201010310cin,cin,ShipJo00,rec,3,,,,,
player,201010310cin,cin,ShipJo00,rec_yds,28,,,,,
player,201010310cin,cin,ShipJo00,rec_td,0,,,,,
player,201010310cin,cin,ShipJo00,rec_long,14,,,,,
player,201010310cin,cin,ShipJo00,fumbles,0,,,,,
player,201010310cin,cin,ShipJo00,fumbles_lost,,,,,,
player,201010310cin,cin,GresJe00,pass_cmp,0,,,,,
player,201010310cin,cin,GresJe00,pass_att,0,,,,,
player,201010310cin,cin,GresJe00,pass_yds,0,,,,,
player,201010310cin,cin,GresJe00,pass_td,0,,,,,
player,201010310cin,cin,GresJe00,pass_int,0,,,,,
player,201010310cin,cin,GresJe00,pass_sacked,,,,,,
player,201010310cin,cin,GresJe00,pass_sacked_yds,,,,,,
player,201010310cin,cin,GresJe00,pass_long,0,,,,,
player,201010310cin,cin,GresJe00,pass_rating,,,,,,
player,201010310cin,cin,GresJe00,rush_att,0,,,,,
player,201010310cin,cin,GresJe00,rush_yds,0,,,,,
player,201010310cin,cin,GresJe00,rush_td,0,,,,,
player,201010310cin,cin,GresJe00,rush_long,0,,,,,
player,201010310cin,cin,GresJe00,targets,8,,,,,
player,201010310cin,cin,GresJe00,rec,3,,,,,
player,201010310cin,cin,GresJe00,rec_yds,17,,,,,
player,201010310cin,cin,GresJe00,rec_td,0,,,,,
player,201010310cin,cin,GresJe00,rec_long,8,,,,,
player,201010310cin,cin,GresJe00,fumbles,0,,,,,
player,201010310cin,cin,GresJe00,fumbles_lost,,,,,,
player,201010310cin,mia,SmitSe99,def_int,1,,,,,
player,201010310cin,mia,SmitSe99,def_int_yds,18,,,,,
player,201010310cin,mia,SmitSe99,def_int_td,0,,,,,
player,201010310cin,mia,SmitSe99,def_int_long,18,,,,,
player,201010310cin,mia,SmitSe99,pass_defended,2,,,,,
player,201010310cin,mia,SmitSe99,sacks,0.0,,,,,
player,201010310cin,mia,SmitSe99,tackles_combined,1,,,,,
player,201010310cin,mia,SmitSe99,tackles_solo,0,,,,,
player,201010310cin,mia,SmitSe99,tackles_assists,1,,,,,
player,201010310cin,mia,SmitSe99,tackles_loss,0,,,,,
player,201010310cin,mia,SmitSe99,qb_hits,0,,,,,
player,201010310cin,mia,SmitSe99,fumbles_rec,0,,,,,
player,201010310cin,mia,SmitSe99,fumbles_rec_yds,0,,,,,
player,201010310cin,mia,SmitSe99,fumbles_rec_td,0,,,,,
player,201010310cin,mia,SmitSe99,fumbles_forced,0,,,,,
player,201010310cin,mia,SappBe20,def_int,0,,,,,
player,201010310cin,mia,SappBe20,def_int_yds,0,,,,,
player,201010310cin,mia,SappBe20,def_int_td,0,,,,,
player,201010310cin,mia,SappBe20,def_int_long,0,,,,,
player,201010310cin,mia,SappBe20,pass_defended,0,,,,,
player,201010310cin,mia,SappBe20,sacks,0.0,,,,,
player,201010310cin,mia,SappBe20,tackles_combined,10,,,,,
player,201010310cin,mia,SappBe20,tackles_solo,4,,,,,
player,201010310cin,mia,SappBe20,tackles_assists,6,,,,,
player,201010310cin,mia,SappBe20,tackles_loss,1,,,,,
player,201010310cin,mia,SappBe20,qb_hits,0,,,,,
player,201010310cin,mia,SappBe20,fumbles_rec,0,,,,,
player,201010310cin,mia,SappBe20,fumbles_rec_yds,0,,,,,
player,201010310cin,mia,SappBe20,fumbles_rec_td,0,,,,,
player,201010310cin,mia,SappBe20,fumbles_forced,0,,,,,
player,201010310cin,mia,BellYe20,def_int,0,,,,,
player,201010310cin,mia,BellYe20,def_int_yds,0,,,,,
player,201010310cin,mia,BellYe20,def_int_td,0,,,,,
player,201010310cin,mia,BellYe20,def_int_long,0,,,,,
player,201010310cin,mia,BellYe20,pass_defended,2,,,,,
player,201010310cin,mia,BellYe20,sacks,0.0,,,,,
player,201010310cin,mia,BellYe20,tackles_combined,9,,,,,
player,201010310cin,mia,BellYe20,tackles_solo,6,,,,,
player,201010310cin,mia,BellYe20,tackles_assists,3,,,,,
player,201010310cin,mia,BellYe20,tackles_loss,0,,,,,
player,201010310cin,mia,BellYe20,qb_hits,0,,,,,
player,201010310cin,mia,BellYe20,fumbles_rec,0,,,,,
player,201010310cin,mia,BellYe20,fumbles_rec_yds,0,,,,,
player,201010310cin,mia,BellYe20,fumbles_rec_td,0,,,,,
player,201010310cin,mia,BellYe20,fumbles_forced,0,,,,,
player,201010310cin,mia,DansKa20,def_int,0,,,,,
player,201010310cin,mia,DansKa20,def_int_yds,0,,,,,
player,201010310cin,mia,DansKa20,def_int_td,0,,,,,
player,201010310cin,mia,DansKa20,def_int_long,0,,,,,
player,201010310cin,mia,DansKa20,pass_defended,1,,,,,
player,201010310cin,mia,DansKa20,sacks,0.0,,,,,
player,201010310cin,mia,DansKa20,tackles_combined,8,,,,,
player,201010310cin,mia,DansKa20,tackles_solo,5,,,,,
player,201010310cin,mia,DansKa20,tackles_assists,3,,,,,
player,201010310cin,mia,DansKa20,tackles_loss,0,,,,,
player,201010310cin,mia,DansKa20,qb_hits,0,,,,,
player,201010310cin,mia,DansKa20,fumbles_rec,0,,,,,
player,201010310cin,mia,DansKa20,fumbles_rec_yds,0,,,,,
player,201010310cin,mia,DansKa20,fumbles_rec_td,0,,,,,
player,201010310cin,mia,DansKa20,fumbles_forced,0,,,,,
