game,2010,13,20101205,201012050min,buf,"Buffalo Bills",14,min,"Minnesota Vikings",38
player,201012050min,min,WalkFr20,qb_hits,0,,,,,
player,201012050min,min,WalkFr20,fumbles_rec,1,,,,,
player,201012050min,min,WalkFr20,fumbles_rec_yds,0,,,,,
player,201012050min,min,WalkFr20,fumbles_rec_td,0,,,,,
player,201012050min,min,WalkFr20,fumbles_forced,0,,,,,
player,201012050min,min,WillPa20,def_int,0,,,,,
player,201012050min,min,WillPa20,def_int_yds,0,,,,,
player,201012050min,min,WillPa20,def_int_td,0,,,,,
player,201012050min,min,WillPa20,def_int_long,0,,,,,
player,201012050min,min,WillPa20,pass_defended,0,,,,,
player,201012050min,min,WillPa20,sacks,0.0,,,,,
player,201012050min,min,WillPa20,tackles_combined,1,,,,,
player,201012050min,min,WillPa20,tackles_solo,0,,,,,
player,201012050min,min,WillPa20,tackles_assists,1,,,,,
player,201012050min,min,WillPa20,tackles_loss,0,,,,,
player,201012050min,min,WillPa20,qb_hits,0,,,,,
player,201012050min,min,WillPa20,fumbles_rec,0,,,,,
player,201012050min,min,WillPa20,fumbles_rec_yds,0,,,,,
player,201012050min,min,WillPa20,fumbles_rec_td,0,,,,,
player,201012050min,min,WillPa20,fumbles_forced,0,,,,,
player,201012050min,buf,SpilC.00,kick_ret,3,,,,,
player,201012050min,buf,SpilC.00,kick_ret_yds,54,,,,,
player,201012050min,buf,SpilC.00,kick_ret_yds_per_ret,18.0,,,,,
player,201012050min,buf,SpilC.00,kick_ret_td,0,,,,,
player,201012050min,buf,SpilC.00,kick_ret_long,23,,,,,
player,201012050min,buf,SpilC.00,punt_ret,2,,,,,
player,201012050min,buf,SpilC.00,punt_ret_yds,12,,,,,
player,201012050min,buf,SpilC.00,punt_ret_yds_per_ret,6.0,,,,,
player,201012050min,buf,SpilC.00,punt_ret_td,0,,,,,
player,201012050min,buf,SpilC.00,punt_ret_long,14,,,,,
player,201012050min,buf,McKeLe99,kick_ret,3,,,,,
player,201012050min,buf,McKeLe99,kick_ret_yds,21,,,,,
player,201012050min,buf,McKeLe99,kick_ret_yds_per_ret,7.0,,,,,
player,201012050min,buf,McKeLe99,kick_ret_td,0,,,,,
player,201012050min,buf,McKeLe99,kick_ret_long,11,,,,,
player,201012050min,buf,McKeLe99,punt_ret,0,,,,,
player,201012050min,buf,McKeLe99,punt_ret_yds,0,,,,,
player,201012050min,buf,McKeLe99,punt_ret_yds_per_ret,,,,,,
player,201012050min,buf,McKeLe99,punt_ret_td,0,,,,,
player,201012050min,buf,McKeLe99,punt_ret_long,0,,,,,
player,201012050min,min,CamaGr00,kick_ret,0,,,,,
player,201012050min,min,CamaGr00,kick_ret_yds,0,,,,,
player,201012050min,min,CamaGr00,kick_ret_yds_per_ret,,,,,,
player,201012050min,min,CamaGr00,kick_ret_td,0,,,,,
player,201012050min,min,CamaGr00,kick_ret_long,0,,,,,
player,201012050min,min,CamaGr00,punt_ret,3,,,,,
player,201012050min,min,CamaGr00,punt_ret_yds,25,,,,,
player,201012050min,min,CamaGr00,punt_ret_yds_per_ret,8.3,,,,,
player,201012050min,min,CamaGr00,punt_ret_td,0,,,,,
player,201012050min,min,CamaGr00,punt_ret_long,17,,,,,
player,201012050min,min,WebbJo00,kick_ret,1,,,,,
player,201012050min,min,WebbJo00,kick_ret_yds,30,,,,,
player,201012050min,min,WebbJo00,kick_ret_yds_per_ret,30.0,,,,,
player,201012050min,min,WebbJo00,kick_ret_td,0,,,,,
player,201012050min,min,WebbJo00,kick_ret_long,30,,,,,
player,201012050min,min,WebbJo00,punt_ret,0,,,,,
player,201012050min,min,WebbJo00,punt_ret_yds,0,,,,,
player,201012050min,min,WebbJo00,punt_ret_yds_per_ret,,,,,,
player,201012050min,min,WebbJo00,punt_ret_td,0,,,,,
player,201012050min,min,WebbJo00,punt_ret_long,0,,,,,
player,201012050min,min,YounAl01,kick_ret,1,,,,,
player,201012050min,min,YounAl01,kick_ret_yds,25,,,,,
player,201012050min,min,YounAl01,kick_ret_yds_per_ret,25.0,,,,,
player,201012050min,min,YounAl01,kick_ret_td,0,,,,,
player,201012050min,min,YounAl01,kick_ret_long,25,,,,,
player,201012050min,min,YounAl01,punt_ret,0,,,,,
player,201012050min,min,YounAl01,punt_ret_yds,0,,,,,
player,201012050min,min,YounAl01,punt_ret_yds_per_ret,,,,,,
player,201012050min,min,YounAl01,punt_ret_td,0,,,,,
player,201012050min,min,YounAl01,punt_ret_long,0,,,,,
player,201012050min,buf,linderia01,xpm,2,,,,,
player,201012050min,buf,linderia01,xpa,2,,,,,
player,201012050min,buf,linderia01,fgm,,,,,,
player,201012050min,buf,linderia01,fga,,,,,,
player,201012050min,buf,linderia01,punt,0,,,,,
player,201012050min,buf,linderia01,punt_yds,0,,,,,
player,201012050min,buf,linderia01,punt_yds_per_punt,,,,,,
player,201012050min,buf,linderia01,punt_long,0,,,,,
player,201012050min,buf,MoorBr24,xpm,,,,,,
player,201012050min,buf,MoorBr24,xpa,,,,,,
player,201012050min,buf,MoorBr24,fgm,,,,,,
player,201012050min,buf,MoorBr24,fga,,,,,,
player,201012050min,buf,MoorBr24,punt,6,,,,,
player,201012050min,buf,MoorBr24,punt_yds,265,,,,,
player,201012050min,buf,MoorBr24,punt_yds_per_punt,44.2,,,,,
player,201012050min,buf,MoorBr24,punt_long,55,,,,,
player,201012050min,min,longwrya01,xpm,5,,,,,
player,201012050min,min,longwrya01,xpa,5,,,,,
player,201012050min,min,longwrya01,fgm,1,,,,,
player,201012050min,min,longwrya01,fga,1,,,,,
player,201012050min,min,longwrya01,punt,0,,,,,
player,201012050min,min,longwrya01,punt_yds,0,,,,,
player,201012050min,min,longwrya01,punt_yds_per_punt,,,,,,
player,201012050min,min,longwrya01,punt_long,0,,,,,
player,201012050min,min,KluwCh20,xpm,,,,,,
player,201012050min,min,KluwCh20,xpa,,,,,,
player,201012050min,min,KluwCh20,fgm,,,,,,
player,201012050min,min,KluwCh20,fga,,,,,,
player,201012050min,min,KluwCh20,punt,4,,,,,
player,201012050min,min,KluwCh20,punt_yds,175,,,,,
player,201012050min,min,KluwCh20,punt_yds_per_punt,43.8,,,,,
player,201012050min,min,KluwCh20,punt_long,55,,,,,
