game,2010,14,20101212,201012120crd,den,"Denver Broncos",13,crd,"Arizona Cardinals",43
player,201012120crd,crd,DrayJi00,pass_int,0,,,,,
player,201012120crd,crd,DrayJi00,pass_sacked,0,,,,,
player,201012120crd,crd,DrayJi00,pass_sacked_yds,0,,,,,
player,201012120crd,crd,DrayJi00,pass_long,0,,,,,
player,201012120crd,crd,DrayJi00,pass_rating,,,,,,
player,201012120crd,crd,DrayJi00,rush_att,0,,,,,
player,201012120crd,crd,DrayJi00,rush_yds,0,,,,,
player,201012120crd,crd,DrayJi00,rush_td,0,,,,,
player,201012120crd,crd,DrayJi00,rush_long,0,,,,,
player,201012120crd,crd,DrayJi00,targets,3,,,,,
player,201012120crd,crd,DrayJi00,rec,0,,,,,
player,201012120crd,crd,DrayJi00,rec_yds,0,,,,,
player,201012120crd,crd,DrayJi00,rec_td,0,,,,,
player,201012120crd,crd,DrayJi00,rec_long,0,,,,,
player,201012120crd,crd,DrayJi00,fumbles,0,,,,,
player,201012120crd,crd,DrayJi00,fumbles_lost,,,,,,
player,201012120crd,den,WillD.20,def_int,0,,,,,
player,201012120crd,den,WillD.20,def_int_yds,0,,,,,
player,201012120crd,den,WillD.20,def_int_td,0,,,,,
player,201012120crd,den,WillD.20,def_int_long,0,,,,,
player,201012120crd,den,WillD.20,pass_defended,1,,,,,
player,201012120crd,den,WillD.20,sacks,0.0,,,,,
player,201012120crd,den,WillD.20,tackles_combined,8,,,,,
player,201012120crd,den,WillD.20,tackles_solo,6,,,,,
player,201012120crd,den,WillD.20,tackles_assists,2,,,,,
player,201012120crd,den,WillD.20,tackles_loss,0,,,,,
player,201012120crd,den,WillD.20,qb_hits,1,,,,,
player,201012120crd,den,WillD.20,fumbles_rec,1,,,,,
player,201012120crd,den,WillD.20,fumbles_rec_yds,0,,,,,
player,201012120crd,den,WillD.20,fumbles_rec_td,0,,,,,
player,201012120crd,den,WillD.20,fumbles_forced,0,,,,,
