game,2010,11,20101121,201011210jax,cle,"Cleveland Browns",20,jax,"Jacksonville Jaguars",24
player,201011210jax,cle,WatsBe00,fumbles_lost,,,,,,
player,201011210jax,jax,GarrDa00,pass_cmp,20,,,,,
player,201011210jax,jax,GarrDa00,pass_att,34,,,,,
player,201011210jax,jax,GarrDa00,pass_yds,254,,,,,
player,201011210jax,jax,GarrDa00,pass_td,2,,,,,
player,201011210jax,jax,GarrDa00,pass_int,3,,,,,
player,201011210jax,jax,GarrDa00,pass_sacked,4,,,,,
player,201011210jax,jax,GarrDa00,pass_sacked_yds,28,,,,,
player,201011210jax,jax,GarrDa00,pass_long,75,,,,,
player,201011210jax,jax,GarrDa00,pass_rating,65.1,,,,,
player,201011210jax,jax,GarrDa00,rush_att,3,,,,,
player,201011210jax,jax,GarrDa00,rush_yds,9,,,,,
player,201011210jax,jax,GarrDa00,rush_td,0,,,,,
player,201011210jax,jax,GarrDa00,rush_long,6,,,,,
player,201011210jax,jax,GarrDa00,targets,0,,,,,
player,201011210jax,jax,GarrDa00,rec,0,,,,,
player,201011210jax,jax,GarrDa00,rec_yds,0,,,,,
player,201011210jax,jax,GarrDa00,rec_td,0,,,,,
player,201011210jax,jax,GarrDa00,rec_long,0,,,,,
player,201011210jax,jax,GarrDa00,fumbles,1,,,,,
player,201011210jax,jax,GarrDa00,fumbles_lost,1,,,,,
player,201011210jax,jax,DrewMa00,pass_cmp,0,,,,,
player,201011210jax,jax,DrewMa00,pass_att,1,,,,,
player,201011210jax,jax,DrewMa00,pass_yds,0,,,,,
player,201011210jax,jax,DrewMa00,pass_td,0,,,,,
player,201011210jax,jax,DrewMa00,pass_int,1,,,,,
player,201011210jax,jax,DrewMa00,pass_sacked,0,,,,,
player,201011210jax,jax,DrewMa00,pass_sacked_yds,0,,,,,
player,201011210jax,jax,DrewMa00,pass_long,0,,,,,
player,201011210jax,jax,DrewMa00,pass_rating,0.0,,,,,
player,201011210jax,jax,DrewMa00,rush_att,23,,,,,
player,201011210jax,jax,DrewMa00,rush_yds,133,,,,,
player,201011210jax,jax,DrewMa00,rush_td,1,,,,,
player,201011210jax,jax,DrewMa00,rush_long,22,,,,,
player,201011210jax,jax,DrewMa00,targets,3,,,,,
player,201011210jax,jax,DrewMa00,rec,3,,,,,
player,201011210jax,jax,DrewMa00,rec_yds,87,,,,,
player,201011210jax,jax,DrewMa00,rec_td,0,,,,,
player,201011210jax,jax,DrewMa00,rec_long,75,,,,,
player,201011210jax,jax,DrewMa00,fumbles,1,,,,,
player,201011210jax,jax,DrewMa00,fumbles_lost,1,,,,,
player,201011210jax,jax,JennRa00,pass_cmp,0,,,,,
player,201011210jax,jax,JennRa00,pass_att,0,,,,,
player,201011210jax,jax,JennRa00,pass_yds,0,,,,,
player,201011210jax,jax,JennRa00,pass_td,0,,,,,
player,201011210jax,jax,JennRa00,pass_int,0,,,,,
player,201011210jax,jax,JennRa00,pass_sacked,,,,,,
player,201011210jax,jax,JennRa00,pass_sacked_yds,,,,,,
player,201011210jax,jax,JennRa00,pass_long,0,,,,,
player,201011210jax,jax,JennRa00,pass_rating,,,,,,
player,201011210jax,jax,JennRa00,rush_att,2,,,,,
player,201011210jax,jax,JennRa00,rush_yds,3,,,,,
player,201011210jax,jax,JennRa00,rush_td,0,,,,,
player,201011210jax,jax,JennRa00,rush_long,3,,,,,
player,201011210jax,jax,JennRa00,targets,1,,,,,
player,201011210jax,jax,JennRa00,rec,1,,,,,
player,201011210jax,jax,JennRa00,rec_yds,9,,,,,
player,201011210jax,jax,JennRa00,rec_td,0,,,,,
player,201011210jax,jax,JennRa00,rec_long,9,,,,,
player,201011210jax,jax,JennRa00,fumbles,0,,,,,
player,201011210jax,jax,JennRa00,fumbles_lost,,,,,,
player,201011210jax,jax,LewiMa00,pass_cmp,0,,,,,
player,201011210jax,jax,LewiMa00,pass_att,0,,,,,
player,201011210jax,jax,LewiMa00,pass_yds,0,,,,,
player,201011210jax,jax,LewiMa00,pass_td,0,,,,,
player,201011210jax,jax,LewiMa00,pass_int,0,,,,,
player,201011210jax,jax,LewiMa00,pass_sacked,,,,,,
player,201011210jax,jax,LewiMa00,pass_sacked_yds,,,,,,
player,201011210jax,jax,LewiMa00,pass_long,0,,,,,
player,201011210jax,jax,LewiMa00,pass_rating,,,,,,
player,201011210jax,jax,LewiMa00,rush_att,0,,,,,
player,201011210jax,jax,LewiMa00,rush_yds,0,,,,,
player,201011210jax,jax,LewiMa00,rush_td,0,,,,,
player,201011210jax,jax,LewiMa00,rush_long,0,,,,,
player,201011210jax,jax,LewiMa00,targets,8,,,,,
player,201011210jax,jax,LewiMa00,rec,5,,,,,
player,201011210jax,jax,LewiMa00,rec_yds,66,,,,,
player,201011210jax,jax,LewiMa00,rec_td,1,,,,,
player,201011210jax,jax,LewiMa00,rec_long,17,,,,,
player,201011210jax,jax,LewiMa00,fumbles,0,,,,,
player,201011210jax,jax,LewiMa00,fumbles_lost,,,,,,
player,201011210jax,jax,ThomMi01,pass_cmp,0,,,,,
player,201011210jax,jax,ThomMi01,pass_att,0,,,,,
player,201011210jax,jax,ThomMi01,pass_yds,0,,,,,
player,201011210jax,jax,ThomMi01,pass_td,0,,,,,
player,201011210jax,jax,ThomMi01,pass_int,0,,,,,
player,201011210jax,jax,ThomMi01,pass_sacked,,,,,,
player,201011210jax,jax,ThomMi01,pass_sacked_yds,,,,,,
player,201011210jax,jax,ThomMi01,pass_long,0,,,,,
player,201011210jax,jax,ThomMi01,pass_rating,,,,,,
player,201011210jax,jax,ThomMi01,rush_att,0,,,,,
player,201011210jax,jax,ThomMi01,rush_yds,0,,,,,
player,201011210jax,jax,ThomMi01,rush_td,0,,,,,
